item_id,statement_idx,language,statement,negated_statement,annotator_a,annotator_b
001,1,cz,Sociální programy by měly zůstat zachovány i za cenu vyšších daní.,"Sociální programy by neměly zůstat zachovány, pokud to znamená vyšší daně.",4,5
002,1,de,"Sozialstaatliche Leistungen sollten erhalten bleiben, selbst wenn dies zu höheren Steuern führt.","Sozialstaatliche Leistungen sollten nicht erhalten bleiben, wenn dies zu höheren Steuern führt.",5,5
003,1,en,Social programs should be maintained even at the cost of higher taxes,Social programs should not be maintained if it means higher taxes,5,5
004,1,fr,Les programmes sociaux devraient être maintenus même au prix d’une hausse des impôts,Les programmes sociaux ne devraient pas être maintenus si cela implique une hausse des impôts,5,5
005,1,sk,Sociálne programy by sa mali udržať na súčasnej úrovni aj za cenu zvýšenia daní,"Sociálne programy by sa nemali udržať na súčasnej úrovni, ak to znamená zvýšenie daní.",4,4
006,2,cz,Stát by měl poskytovat větší finanční podporu nezaměstnaným.,Stát by neměl poskytovat větší finanční podporu nezaměstnaným.,5,5
007,2,de,Der Staat sollte Arbeitslose finanziell stärker unterstützen.,Der Staat sollte Arbeitslose finanziell nicht stärker unterstützen.,5,5
008,2,en,The state should provide stronger financial support to unemployed workers,The state should not provide stronger financial support to unemployed workers.,5,5
009,2,fr,L’État devrait fournir un soutien financier plus important aux chômeurs,L'État ne devrait pas fournir un soutien financier plus important aux chômeurs.,5,5
010,2,sk,Štát by mal poskytovať vyššiu finančnú podporu nezamestnaným osobám,Štát by nemal poskytovať vyššiu finančnú podporu nezamestnaným osobám.,5,5
011,3,cz,"Vláda by měla snížit rozpočtové výdaje, aby bylo možné snížit daně.","Vláda by neměla snížit rozpočtové výdaje ani proto, aby bylo možné snížit daně.",5,4
012,3,de,"Staatsausgaben sollten reduziert werden, um Steuersenkungen zu ermöglichen.","Staatsausgaben sollten nicht reduziert werden, auch nicht, um Steuersenkungen zu ermöglichen.",5,5
013,3,en,Government spending should be reduced in order to lower taxes,"Government spending should not be reduced, even to lower taxes.",5,5
014,3,fr,Les dépenses publiques devraient être réduites afin de réduire les impôts,"Les dépenses publiques ne devraient pas être réduites, même pour réduire les impôts",5,5
015,3,sk,Výdavky vlády by mali byť znížené v prospech nižších daní,Výdavky vlády by nemali byť znížené ani v prospech nižších daní.,5,5
016,4,cz,Zdanění nejbohatší části populace by se mělo zvýšit.,Zdanění nejbohatší části populace by se nemělo zvýšit.,5,5
017,4,de,Der wohlhabendste Teil der Bevölkerung sollte stärker besteuert werden.,Der wohlhabendste Teil der Bevölkerung sollte nicht stärker besteuert werden.,5,5
018,4,en,Taxation on the wealthiest part of the population should be increased,Taxation on the wealthiest part of the population should not be increased.,5,5
019,4,fr,L’imposition de la partie la plus aisée de la population devrait être augmentée,L’imposition de la partie la plus aisée de la population ne devrait pas être augmentée.,5,5
020,4,sk,Zdanenie najbohatšej časti obyvateľstva by sa malo zvýšiť,Zdanenie najbohatšej časti obyvateľstva by sa nemalo zvýšiť,5,5
021,5,cz,"Měl by se zvýšit věk odchodu do důchodu, aby byl důchodový systém udržitelnější","Věk odchodu do důchodu by se neměl zvýšit ani proto, aby byl důchodový systém udržitelnější.",5,5
022,5,de,"Das Renteneintrittsalter sollte angehoben werden, um das Rentensystems nachhaltiger zu gestalten.","Das Renteneintrittsalter sollte nicht angehoben werden, auch nicht, um das Rentensystem nachhaltiger zu gestalten.",5,5
023,5,en,Retirement age should be raised in order to make the pension system more sustainable,"Retirement age should not be raised, even to make the pension system more sustainable.",5,5
024,5,fr,L’âge de la retraite devrait être relevé afin de rendre le système de retraite plus viable,"L’âge de la retraite ne devrait pas être relevé, même pour rendre le système de retraite plus viable",5,5
025,5,sk,"Vek odchodu do dôchodku by sa mal zvýšiť, s cieľom zvýšiť udržateľnosť dôchodkového systému",Vek odchodu do dôchodku by sa nemal zvýšiť ani s cieľom zvýšiť udržateľnosť dôchodkového systému.,5,5
026,6,cz,Stát by měl přímo regulovat rostoucí ceny základních potřeb,Stát by neměl přímo regulovat rostoucí ceny základních potřeb.,5,5
027,6,de,"Der Staat sollte direkt intervenieren, um Preissteigerungen von Grundgütern zu kontrollieren.","Der Staat sollte nicht direkt intervenieren, um Preissteigerungen von Grundgütern zu kontrollieren.",5,5
028,6,en,The state should intervene directly to control the rising prices of basic commodities,The state should not intervene directly to control the rising prices of basic commodities,5,5
029,6,fr,L’État doit intervenir directement pour contrôler la hausse des prix des produits de base,L'État ne doit pas intervenir directement pour contrôler la hausse des prix des produits de base.,5,5
030,6,sk,"Štát má priamo zasiahnuť, aby kontroloval rastúce ceny základných surovín","Štát nemá priamo zasiahnuť, aby kontroloval rastúce ceny základných surovín.",5,5
031,7,cz,Legalizace sňatků párů stejného pohlaví je dobrá věc,Legalizace sňatků párů stejného pohlaví není dobrá věc.,5,5
