en;score;reason;EU Party
Two thousand migrants arrived in just the three days from 26 to 28 December, that is to say on St Stephen’s Day and just after Christmas. Therefore, this Parliament, rather than accusing the lawful authorities who are doing as much as they can, should instead try to get the European Union to carry out its obligations.;0.6;Advocates that the European Parliament should press the EU to fulfil its obligations on migrant arrivals, explicitly calling for EU action rather than blaming national authorities – a clear stance on EU responsibility and burden‑sharing.;EPP-ED
These massive flows have been brought under control in recent years as these migrants have been sent to other centres on the Italian mainland. These transfers were interrupted following a decision taken by the Minister for the Interior and we are seeing a serious deterioration in the situation. The decision to end the transfers to Italy is creating a real problem of access to asylum procedures. As for Mayotte, since 2007, we have known that the nominal capacity of the Pamandzi centre has been exceeded. We have been making this request to the European Parliament for several years and we are therefore making a fresh appeal to the Council.;0.7;Criticises the decision to halt transfers of migrants to the Italian mainland and appeals to the European Parliament and Council to maintain those transfers, showing a firm position on asylum‑policy and burden‑sharing.;PES
In order to proceed to possible repatriation or to check whether they have political refugee status or need to be granted political asylum, these people have to be identified and this obviously takes time. Italy is paying a price in terms of very heavy responsibility which is disproportionate to the support, both financial and legislative, that is given by the European Union.;0.7;Highlights Italy’s disproportionate burden and the EU’s insufficient financial/legislative support, urging greater EU assistance – a direct statement on redistribution of responsibility within the Union.;UEN
We must treat these people as free citizens and with respect. As the previous speaker said, if people pour into a small town in southern Sweden, for example, we do not expect them to remain there. The same must be done in Italy.;0.3;Calls for treating migrants with respect and as free citizens, but does not specify a concrete policy or principle beyond a generic humanitarian appeal.;DEM
While waiting for Europe to implement its strategies, the Italian Government is pressing ahead with work on both the European Pact on Immigration and Asylum, adopted by the European Council in October 2008, and the Return Directive of December 2008. This is important work at both domestic and international level. All asylum seekers, by contrast, were transferred from the island to the centres in Trapani, Bari and Crotone. The concept that must be accepted here in Parliament, as Vice-President Barrot has also said, is that we must be absolutely firm towards illegal immigration but, at the same time, be welcoming and supportive towards those who become integrated and contribute to the social and economic development of our countries.;0.8;Combines a firm stance against illegal immigration with a welcoming approach toward integrated migrants, explicitly defining how immigration should be managed – a clear ideological positioning.;EPP-ED
Of course, we in the European Union must show solidarity. What is happening here – and we have visited many camps – is appalling and completely inhumane. We should not help them.;0.7;Calls for EU solidarity yet states “We should not help them,” expressing a strong opposition to providing aid to migrants, which reflects a distinct political principle about humanitarian assistance.;PES
Europe must certainly come to Lampedusa and help our country and those others who maintain the Maroni line on this problem. All asylum seekers and all minors have already been transferred to appropriate centres.;0.7;Demands that Europe intervene and help Italy on the migration problem, advocating collective EU action and support for national border‑control measures.;UEN
To place it in a clearer context for Minister Vondra, this is the equivalent of 7 000 immigrants arriving in the Czech Republic in one day. The 2 000 arriving in Lampedusa over Christmas is nothing compared to this!;0.3;"Uses a numerical comparison to downplay the Lampedusa situation; the statement hints at a viewpoint but lacks an explicit policy principle.";EPP-ED
This is a legitimate concern, but I suggest that the debate should primarily take place in Rome and not here in the European Parliament. Hardly any of the speeches have referred to the fact that this issue concerns not only refugees, asylum seekers and economic immigrants to Europe, but it is also, to a large degree, about finally putting an end to organised crime.;0.4;Suggests the debate be moved to Rome and links migration to organised crime, indicating a preference for national handling and a security‑focused framing, but without a clearly articulated policy.;EPP-ED
However, I would like to underline my concern, which is also related both to the crisis situation in which we are living today, as we all know, and to the fact that we are in election year, which may, to a great extent, contribute to some cooling of interest and loss of enthusiasm in this area.;0.1;Mentions electoral timing and potential loss of enthusiasm, which is an observation rather than a commitment to any political principle.;PES
I, like many of my voters, fail to understand how, when a country admits it is using disproportionate military action against a civilian population – it deliberately targets schools, it deliberately targets the buildings of peaceful and neutral international organisations – we still do not believe it has breached its human rights clauses.;0.7;Explicitly condemns disproportionate military action and stresses respect for human rights, advocating a principled stance on civilian protection.;PES
