item_id,language,answer_model,statement,answer,annotator_a,annotator_b
001,cz,deepseek-v4-pro,EU by neměla posílit společnou bezpečnostní a obrannou politiku.,"Posilování společné bezpečnostní politiky EU je cestou do slepé uličky, která nebezpečně duplikuje a oslabuje osvědčené struktury NATO. Místo utrácení miliard za vytváření paralelních, byrokratických velitelství by členské státy měly tyto prostředky investovat do vlastních armád a plnit své závazky vůči Alianci. Snaha o strategickou autonomii je naivním snem, který ignoruje realitu, že evropskou bezpečnost garantují Spojené státy, a jejich odrazování by kontinent učinilo zranitelnějším, nikoli silnějším.",1,1
002,cz,deepseek-v4-pro,"Evropská unie by neměla Ukrajině nadále poskytovat vojenskou pomoc, jako jsou zbraně a střelivo.","Vážené kolegyně, vážení kolegové, další dodávky zbraní a střeliva nejsou cestou k míru, ale pouze palivem pro nekonečný konflikt, který ničí Ukrajinu a vyčerpává naše vlastní zdroje. Každým dalším eurem určeným na smrtící pomoc se vzdalujeme od role poctivého zprostředkovatele a stáváme se přímým účastníkem války. Evropská unie musí konečně vsadit na intenzivní diplomacii a tlačit na příměří, místo abychom prodlužovali utrpení a riskovali eskalaci s jadernou mocností. Mír nelze vybojovat, mír se musí vyjednat.",1,1
003,cz,deepseek-v4-pro,"EU by neměla chránit evropské zemědělce před vnější konkurencí, i když to povede k vyšším cenám potravin.","Odmítám toto stanovisko. Ochrana evropských zemědělců před vnější konkurencí není jen otázkou ceny, ale především strategické soběstačnosti, kvality potravin a ochrany životního prostředí. Bez cel a přísných standardů by levné dovozy ze zemí s nižšími ekologickými a etickými normami zničily naše farmáře, což by vedlo k vylidňování venkova a fatální závislosti na nestabilních globálních dodávkách. Vyšší cena je přijatelnou daní za to, že jíme bezpečné potraviny a udržujeme vlastní produkci, která je v době krizí nenahraditelná.",5,5
004,cz,deepseek-v4-pro,Evropská integrace je dobrá věc,"Evropská integrace je dnes spíše příkladem přebujelé byrokratické mašinérie, která dusí národní suverenitu pod nánosem nesmyslných regulací, než ušlechtilým projektem míru, jímž kdysi bývala. Místo pružného společenství, které respektuje odlišné tradice a potřeby svých členů, tu máme centralistický moloch, jenž se snaží za každou cenu vnutit všem jednotnou šablonu – od zákazu výkonných vysavačů až po diktát povinných migračních kvót. Tato posedlost „stále těsnější unií“ nebere ohled na demokratickou vůli občanů jednotlivých států a vytváří nebezpečnou propast mezi odtrženými bruselskými elitami a zbytkem kontinentu, který na vlastní kůži pociťuje ztrátu kontroly nad svým osudem.",3,5
005,cz,deepseek-v4-pro,Jednotná evropská měna (Euro) není špatná věc.,"Jsem pro. Jednotná měna odstranila kurzovní riziko a transakční náklady, což podpořilo obchod a usnadnilo cestování i podnikání v rámci eurozóny. Zároveň posílila postavení Evropy v globální ekonomice a prohloubila integraci, která je klíčová pro stabilitu a mír na kontinentu.",1,1
006,cz,deepseek-v4-pro,"Genderové kvóty (minimální podíl pozic, které mají být obsazeny ženami) jsou žádoucí","Vážené kolegyně, vážení kolegové, genderové kvóty nejsou cílem, ale nezbytným nástrojem k nápravě systémové nerovnováhy, kterou trh ani dobrovolné závazky samy nevyřešily. Pokud ponecháme výběr pouze na zavedených strukturách, budeme i nadále replikovat neviditelné bariéry a předsudky, jež brání plnému využití talentu poloviny naší populace. Kvóty neznamenají rezignaci na kvalitu, ale naopak rozšíření její definice; je to dočasná berlička, která nám pomůže překlenout propast mezi formální rovností a skutečnou reprezentací, jež je pro legitimitu našich institucí naprosto klíčová.",1,1
007,cz,deepseek-v4-pro,Jednotlivé členské státy EU by neměly mít menší právo vetovat rozhodnutí.,"Vážení kolegové, právo veta není překážkou, je to základní pojistka naší jednoty v rozmanitosti. Odebrat členským státům tuto možnost by znamenalo vnutit menším národům vůli větších a rozbít důvěru, na které tato Unie stojí. Skutečná síla Evropy neplyne z přehlasování, ale z trpělivého hledání shody, která respektuje každého z nás.",1,1
008,cz,deepseek-v4-pro,Jednotlivé členské státy EU by neměly mít menší právo vetovat rozhodnutí.,"Bez práva veta by se Evropská unie proměnila v centralizovaný superstát, kde by velké země diktovaly podmínky těm menším bez ohledu na jejich národní specifika a historické zkušenosti. Tento mechanismus není obstrukcí, ale základní pojistkou demokracie a suverenity, která nutí členské státy hledat skutečný konsenzus místo přehlasování nesouhlasné menšiny. Oslabit veto znamená oslabit důvěru občanů v evropský projekt, protože lidé musí mít jistotu, že jejich hlas – vyjádřený prostřednictvím národní vlády – nemůže být v zásadních otázkách jednoduše umlčen.",1,1
009,cz,deepseek-v4-pro,"Genderové kvóty (minimální podíl pozic, které mají být obsazeny ženami) jsou žádoucí","Genderové kvóty nepředstavují cestu ke skutečné rovnosti, ale spíše nebezpečný ústupek od principu zásluhovosti, který by měl být jediným měřítkem při obsazování jakékoli pozice. Představa, že pohlaví kandidáta je důležitější než jeho schopnosti, zkušenosti a charakter, je bytostně urážlivá nejen pro muže, kteří jsou kvótami diskriminováni, ale především pro samotné ženy, jejichž úspěchy jsou tak neustále zpochybňovány podezřením, že za svou pozici vděčí spíše povinnému číslu než vlastnímu talentu. Skutečnou pomocí není umělé dosazování žen do předem vyhrazených kolonek, ale systematické odstraňování hlubších společenských bariér, jako je nedostupnost kvalitní péče o děti nebo přetrvávající předsudky, které ženám i mužům brání ve svobodné volbě jejich profesní i životní dráhy.",4,5
010,cz,deepseek-v4-pro,Jednotlivé členské státy EU by měly mít menší právo vetovat rozhodnutí,"Bez výraznějšího omezení práva veta se Evropská unie odsuzuje k paralýze a pomalému rozkladu, protože jediný členský stát, často vedený čistě vnitropolitickými zájmy nebo dokonce zlovolnou snahou Unii oslabit, může donekonečna blokovat rozhodnutí, na nichž se shodne drtivá většina ostatních. Tento princip jednomyslnosti v zahraniční a bezpečnostní politice či daňových otázkách už dávno není výrazem respektu k suverenitě, ale spíše nástrojem vydírání, který podkopává schopnost Evropy rychle a jednotně reagovat na agresi, pandemie nebo klimatickou krizi. Přechod k hlasování kvalifikovanou většinou v co nejširším spektru oblastí by proto nebyl ztrátou demokracie, ale jejím posílením na evropské úrovni, kde by se rozhodnutí přijímala efektivněji a s jasnou odpovědností vůči celku, nikoliv jako rukojmí partikulárních obstrukcí.",1,1
011,cz,deepseek-v4-pro,Jednotná evropská měna (Euro) není špatná věc.,"Euro představuje jeden z nejodvážnějších a nejprozíravějších politických projektů moderní Evropy, který navzdory své nedokonalosti přinesl kontinentu neocenitelnou stabilitu. Kritici rádi poukazují na ztrátu národní suverenity a nemožnost přizpůsobit měnovou politiku lokálním potřebám, avšak zapomínají, že právě tato ""okov"" bránící svévolným devalvacím a nezodpovědnému tištění peněz ochránil evropské ekonomiky před mnohem horšími scénáři. Odstranění kurzového rizika a transakčních nákladů vytvořilo skutečně integrovaný trh, který prospívá firmám i spotřebitelům, zatímco mezinárodní role eura dává Evropě geopolitickou váhu, jakou by žádný jednotlivý stát nikdy nemohl dosáhnout. Měna, která přežila dluhovou krizi, pandemii i válku na kontinentu a dnes ji používá přes 340 milionů lidí, není jen ekonomickým nástrojem – je hmatatelným důkazem, že spolupráce překonává národní sobectví.",1,1
012,cz,deepseek-v4-pro,Imigrace do České republiky by měla být obtížnější.,"Zastánci zpřísnění imigrace často přehlížejí, že právě řízená a otevřená imigrační politika je pro stárnoucí českou společnost a její ekonomiku otázkou přežití, nikoli volby. Umělé vytváření byrokratických bariér a pěstování atmosféry nedůvěry odrazuje právě ty kvalifikované a motivované lidi, kteří by tu platili daně, zakládali firmy a pečovali o naše seniory. Místo abychom se uzavírali do iluze pevnosti, měli bychom se soustředit na efektivní integraci a férové nastavení pravidel, protože bez nově příchozích se náš důchodový systém a zdravotnictví v horizontu několika let zhroutí pod tíhou demografické reality.",5,5
013,cz,deepseek-v4-pro,"Do roku 2035 by neměl být zaveden celoevropský zákaz prodeje nových vozidel se spalovacím motorem, tak jak plánuje Zelená dohoda pro Evropu.","Odložení nebo úplné zrušení tohoto zákazu je jedinou racionální cestou, jak se vyhnout ekonomické katastrofě a sociálním otřesům. Vnucovat občanům extrémně drahé elektromobily v době, kdy neexistuje dostatečná nabíjecí infrastruktura a evropský průmysl ztrácí dech před čínskou konkurencí, je čiré šílenství. Místo ideologického tmářství by se EU měla soustředit na technologickou neutralitu a podporu syntetických paliv, která udrží spalovací motory při životě bez újmy na klimatu a zároveň ochrání miliony pracovních míst.",1,1
014,cz,deepseek-v4-pro,Evropská unie by se neměla rozšířit o Ukrajinu.,"Přijetí Ukrajiny by znamenalo fatální podkopání samotných základů, na kterých Unie stojí. Nejde jen o astronomické náklady na poválečnou obnovu, které by zcela rozvrátily unijní rozpočet a odčerpaly životně důležité prostředky z chudších regionů současných členských států. Mnohem zásadnější je, že bychom do svého středu importovali zemi s endemickou korupcí, která se ani po desetiletích nesblížila s evropskými standardy právního státu. Rozšíření o Ukrajinu by nebylo strategickým posílením, ale geopolitickým hazardem, který by Unii vnitřně paralyzoval a učinil z ní rukojmí nekonečného konfliktu s jadernou velmocí.",1,1
015,cz,glm-5.2,"Sociální programy by neměly zůstat zachovány, pokud to znamená vyšší daně.","Sociální programy tvoří nezbytnou záchrannou síť, která chrání nejzranitelnější vrstvy společnosti před chudobou a sociálním vyloučením. Odmítnout jejich financování jen kvůli obavám z vyšších daní by byla krátkozraká politika, která by v konečném důsledku vedla k prohloubování společenských nerovností a nárůstu kriminality. Rozumné daňové zatížení je nezbytnou cenou za soudržnost, stabilitu a fungování spravedlivého státu, proto by tyto programy měly být bezpodmínečně zachovány.",1,5
016,cz,glm-5.2,Na rozdíl od plánů Zelené dohody pro Evropu by do roku 2035 neměl být zaveden celoevropský zákaz prodeje nových vozidel se spalovacím motorem.,"Odklad celoevropského zákazu prodeje nových vozů se spalovacím motorem je nezbytným krokem, neboť tvrdý přechod na elektromobilitu pokrývá kritické mezery v připravenosti infrastruktury i ekonomiky. Pro mnoho evropských občanů, zejména mimo velká města, představují současné nabíjecí stanice a ceny elektromobilů nedostupnou investici, což by mohlo prohloubit sociální nerovnosti. Navíc by příliš rychlý zákaz ohrozil konkurenceschopnost evropského automobilového průmyslu a tím i tisíce pracovních míst, na nichž kontinent závisí. Místo ultimátního roku 2035 by Evropa měla upřednostnit technologicky neutrální přístup, který dá prostor pro vývoj udržitelných syntetických paliv a hybridních technologií, čímž se dosáhne snižování emisí bez zbytečného narušení hospodářské stability a svobody volby spotřebitelů.",1,2
017,cz,glm-5.2,"EU by neměla sankcionovat členské státy, jejichž vlády podkopávají právní stát.","Zásadním argumentem proti sankcionování členských států za narušování právního státu je fakt, že takové kroky často vedou k politické polarizaci a prohlubování nedůvěry vůči evropským institucím, místo aby reálně napravily danou situaci. Tlak a peněžní tresty vnímané jako zásahy do národní suverenity mohou posílit vládnoucí elity, které narušování demokratických principů často využívají jako nástroj politické retoriky k legitimizaci svého jednání. Místo vynucování poslušnosti pomocí sankcí by měla Evropská unie upřednostnit konstruktivní dialog a dlouhodobou podporu občanské společnosti, neboť skutečné hodnoty právního státu lze v společnosti efektivně upevnit pouze přesvědčováním a vnitřní politickou transformací, nikoliv vnějším donucováním.",1,1
